time,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,nn_torque_left,nn_torque_right,nn_qHr_left,nn_qHr_right,nn_L_P,nn_L_D,nn_R_P,nn_R_D,gait_cycle
6.53,4.7114,-52.9798,95.2759,23.4985,43.44676148755571,-31.08599640985316,0.619003519401138,-0.5720901061014683,30.950175970056897,23.30073953241006,-28.604505305073413,-35.56217194642773,5
6.54,4.7114,-52.9798,95.2759,23.4985,45.63051797973956,-36.155024553526985,0.6380394677623092,-0.6123930574681347,31.90197338811546,23.192622839353895,-30.619652873406732,-36.19578246478665,5
6.55,5.6837,-52.6008,102.2949,40.5273,47.59858371976278,-40.99394774740979,0.6549152543263425,-0.649177848325763,32.745762716317124,23.09655888442203,-32.45889241628815,-36.61285781019773,5
6.56,7.7052,-52.0295,105.896,60.791,49.36329016921637,-45.5758438848507,0.6696501176237294,-0.6824147938077076,33.48250588118647,23.01599885982361,-34.120739690385385,-36.81756641069378,5
6.57,8.661,-52.0295,100.9521,60.791,50.937543351897524,-49.87591758229226,0.6822129458824803,-0.7120268667222228,34.110647294124014,22.95209219081807,-35.60134333611114,-36.81377047019954,5
6.58,9.5124,-52.0295,97.8394,60.791,52.33432313035823,-53.87186428605664,0.6926947761114287,-0.7379198677352159,34.63473880557144,22.90147274135341,-36.89599338676079,-36.61448730835614,5
6.59,10.3309,-51.266,96.6797,79.4678,53.566318257278496,-57.544221314678566,0.7012817968366638,-0.7601049130014914,35.06408984183319,22.860327265186225,-38.00524565007457,-36.232736181127414,5
6.6,11.1769,-46.8055,92.7734,129.8218,54.645646056971415,-60.87657089734557,0.7079109791139947,-0.7786056599414503,35.39554895569974,22.825828261554378,-38.93028299707251,-35.6650227744469,5
6.61,11.1769,-46.8055,92.7734,129.8218,55.5834192879584,-63.85525113154123,0.7122817798351951,-0.7932102137397322,35.61408899175976,22.795448884770163,-39.66051068698661,-34.901466314021704,5
6.62,12.0173,-45.3938,84.5337,143.7378,56.38927022559001,-66.46871583687013,0.7143479979006719,-0.8036119011022941,35.717399895033594,22.766121543648904,-40.1805950551147,-33.946617461882404,5
6.63,13.4181,-43.8392,66.4063,159.2407,57.07121613522016,-68.70709402210252,0.7143773424954597,-0.8096719605372931,35.718867124772984,22.729798237591485,-40.483598026864655,-32.81024431453147,5
6.64,13.9674,-43.8392,56.8848,159.2407,57.635836870173115,-70.5620722098266,0.7126302371941711,-0.8112196381275031,35.63151185970855,22.67461597415963,-40.560981906375154,-31.50160035998124,5
6.65,14.4123,-40.3016,45.105,181.0303,58.08841391974674,-72.02671496549371,0.7091674489436681,-0.8077597651924023,35.45837244718341,22.590972873628314,-40.387988259620116,-30.031582234659528,5
6.66,14.7255,-38.7525,32.7148,141.4185,58.43278457160644,-73.0950475833456,0.7036582498281799,-0.7986680484757481,35.182912491409,22.471002180710762,-39.933402423787406,-28.41854040846806,5
6.67,14.9672,-36.0993,26.4893,155.7007,58.670767401387785,-73.761902033772,0.6953121533019991,-0.7838729082802105,34.76560766509996,22.308269487503786,-39.193645414010525,-26.690792499120818,5
6.68,14.9672,-36.0993,26.4893,155.7007,58.80138735366548,-74.02353946319826,0.6834419885538605,-0.7639262610664187,34.17209942769303,22.101233227835564,-38.196313053320935,-24.867196009042626,5
6.69,15.055,-34.2921,10.9253,181.4575,58.82064780490308,-73.87859113290116,0.6680808164995375,-0.7393237000935561,33.404040824976875,21.849361893000363,-36.966185004677804,-22.95345531469357,6
6.7,14.7639,-32.4134,-33.3252,187.0728,58.72214857465296,-73.32846115882516,0.649610640234482,-0.710224148116289,32.4805320117241,21.539843075750444,-35.511207405814446,-20.95114551244059,6
6.71,14.1816,-30.5348,-63.5986,184.5703,58.497809512262045,-72.37707613005452,0.6281627551877533,-0.6766273095967325,31.408137759387667,21.14742370937776,-33.83136547983662,-18.867322430152388,6
6.72,13.2808,-28.8319,-92.7734,163.3301,58.13803810408703,-71.03051896161139,0.6035899741130877,-0.6385560579713402,30.179498705654385,20.649396521271,-31.92780289856701,-16.721601285942132,6
6.73,12.0558,-27.2608,-122.9858,151.7944,57.6315616188667,-69.29695143156036,0.5757039568487091,-0.5960871636269416,28.785197842435455,20.02891344371802,-29.80435818134708,-14.540531706641294,6
6.74,10.5616,-24.5362,-148.6816,122.3755,56.965417140865476,-67.18680143660241,0.5445063817015944,-0.5493970427122277,27.225319085079718,19.27184706684046,-27.469852135611383,-12.352552884074731,6
6.75,10.5616,-24.5362,-148.6816,122.3755,56.12536620007161,-64.71304539595249,0.5101872860884155,-0.4987948344455527,25.509364304420775,18.373643195235463,-24.939741722277635,-10.182929337994546,6
6.76,9.0071,-23.3442,-154.3579,117.3096,55.09679825004611,-61.89137466799524,0.4730762640419404,-0.44460174327327795,23.65381320209702,17.34238090159903,-22.230087163663896,-8.046339855245257,6
6.77,5.5958,-22.2401,-177.4292,110.9009,53.865884588978425,-58.740041661041474,0.4335079638012258,-0.38707779242898616,21.67539819006129,16.185243541504803,-19.35388962144931,-5.951906215748366,6
6.78,3.9808,-21.1744,-175.0488,111.145,52.42051218979918,-55.27944027527265,0.3917134681944625,-0.32647422075151317,19.585673409723125,14.905778364130073,-16.32371103757566,-3.908071517814866,6
6.79,2.2944,-20.1362,-187.3779,106.9336,50.75084447671786,-51.531631468796455,0.34794042698816313,-0.26309239416076613,17.397021349408156,13.512076662096165,-13.154619708038307,-1.9206192906506183,6
6.8,0.4213,-19.0376,-213.8062,103.4546,48.84966633128884,-47.51990650716471,0.30245313508253185,-0.19721496805527838,15.122656754126593,12.00776082484417,-9.86074840276392,0.005015957072040151,6
6.81,-1.8694,-17.2908,-235.9009,86.6699,46.71246139040019,-43.26840079513868,0.25546311760376567,-0.12908338125997273,12.773155880188284,10.387568748814198,-6.454169062998637,1.8602954918248622,6
6.82,-1.8694,-17.2908,-235.9009,86.6699,44.337200639674066,-38.801814747068335,0.2071439433204295,-0.05901063811346219,10.357197166021475,8.65100889845434,-2.9505319056731096,3.635551890911318,6
6.83,-4.2974,-17.2908,-241.6382,86.6699,41.72412926997583,-34.145260021948495,0.15764360402163552,0.012583639793282753,7.882180201081776,6.808047729821726,0.6291819896641376,5.326967033866371,6
6.84,-9.384,-16.4888,-266.2354,78.0029,38.87567653061039,-29.324146358220485,0.10710174880604378,0.08525783251163462,5.3550874403021895,4.86628507584332,4.262891625581731,6.933257078257395,6
6.85,-12.1636,-14.9781,-279.2358,69.5801,35.796270318736376,-24.364081054532836,0.05561697290678866,0.15858519165153562,2.7808486453394328,2.8256189842810584,7.929259582576781,8.449584126320593,6
6.86,-15.0914,-14.2421,-290.2222,70.4956,32.49194400250933,-19.29082501187916,0.003214054240156,0.23210196152599724,0.1607027120078,0.6878100169972434,11.605098076299862,9.872131978540438,6
6.87,-18.0852,-13.473,-299.2554,74.2188,28.96989345953552,-14.13026393979544,-0.050134503140316304,0.3052940717700525,-2.5067251570158153,-1.541065158125024,15.264703588502627,11.202829775111665,6
6.88,-21.1998,-12.715,-313.7207,72.6318,25.23808501009758,-8.908305675983714,-0.10452847062872608,0.37768241756248533,-5.226423531436304,-3.854988560397738,18.884120878124268,12.446038317062174,6
6.89,-21.1998,-12.0283,-313.7207,64.1479,21.304897706294845,-3.6507018756147094,-0.16006199153043996,0.44887860535556995,-8.003099576521997,-6.246837392341136,22.443930267778498,13.602648351096391,6
6.9,-24.4024,-11.4021,-323.5474,58.8989,17.178885943396384,1.6171259173693118,-0.21674206982141253,0.5185449920716825,-10.837103491070627,-8.7066121089146,25.927249603584123,14.670101877983274,6
6.91,-31.0106,-10.7814,-334.5947,59.4482,12.868712858958052,6.8702487905181915,-0.2745422731408196,0.5864242538018634,-13.727113657040979,-11.226401028099819,29.32121269009317,15.647647711064618,6
6.92,-31.0106,-10.1167,-334.5947,64.27,8.38316279337246,12.084515119919416,-0.3333785502385237,0.6523962472297175,-16.668927511926185,-13.799022983359759,32.61981236148587,16.539392811039594,6
6.93,-37.1355,-9.3421,-289.4287,76.2329,3.7313379574858807,17.23703434657531,-0.3930560441822329,0.7163977684872268,-19.652802209111645,-16.402308988417694,35.81988842436134,17.354428751936776,6
6.94,-39.7777,-8.4632,-260.8032,89.5386,-1.0766770523645288,22.306750259894176,-0.45326466182514047,0.7783541834102725,-22.663233091257023,-18.99607696189908,38.917709170513625,18.106003531259667,6
6.95,-42.1068,-6.3154,-229.3701,112.7319,-6.028775185818844,27.275011339817645,-0.5136195434365713,0.8382989217742052,-25.680977171828566,-21.54012468371445,41.91494608871026,18.811075395145757,6
6.96,-42.1068,-6.3154,-229.3701,112.7319,-11.109960192093085,32.126166897147634,-0.5737510685399484,0.8964638430782098,-28.687553426997418,-24.00773281285413,44.82319215391049,19.48485254866622,6
6.97,-44.1173,-5.1618,-197.6318,115.7227,-16.30205114174866,36.84808396343122,-0.6333228886352079,0.9531455756392713,-31.666144431760397,-26.38134617633432,47.65727878196356,20.133555177957785,6
6.98,-47.4077,-4.0028,-151.6113,119.2627,-21.583760558082574,41.432352886673286,-0.6919836296373535,1.0085883030766807,-34.599181481867674,-28.634455494371732,50.429415153834036,20.759084107757317,6
6.99,-48.77,-2.8108,-135.1318,117.8589,-26.930751124865292,45.874166146517794,-0.7493862899390571,1.0630194976825251,-37.469314496952855,-30.73608797369827,53.150974884126256,21.363066845090415,6
7.0,-49.973,-1.6682,-119.873,112.4268,-32.315798535976505,50.17201537917027,-0.8053304438261052,1.116664018532262,-40.266522191305256,-32.66920739333784,55.8332009266131,21.943957183306207,6
